Var4_img1.jpg Grila: Informatica 4, [4 Matematica], [5 Informatica]. Nota finala: 3.7
Var4_img3.jpg Grila: Informatica 4, [14 Matematica], [13 Informatica]. Nota finala: 9.1
Var4_img6.jpg Grila: Informatica 4, [7 Matematica], [4 Informatica]. Nota finala: 4.3
Var4_img12.jpg Grila: Informatica 4, [8 Matematica], [7 Informatica]. Nota finala: 5.5
Var4_img13.jpg Grila: Informatica 4, [9 Matematica], [8 Informatica]. Nota finala: 6.1
Var4_img14.jpg Grila: Informatica 4, [11 Matematica], [10 Informatica]. Nota finala: 7.3
Var4_img15.jpg Grila: Informatica 4, [5 Matematica], [8 Informatica]. Nota finala: 4.9
Var4_img16.jpg Grila: Informatica 4, [12 Matematica], [9 Informatica]. Nota finala: 7.3
Var4_img20.jpg Grila: Informatica 4, [10 Matematica], [8 Informatica]. Nota finala: 6.4
Var4_img21.jpg Grila: Informatica 4, [4 Matematica], [3 Informatica]. Nota finala: 3.1
Var4_img24.jpg Grila: Informatica 4, [7 Matematica], [4 Informatica]. Nota finala: 4.3
Var4_img25.jpg Grila: Informatica 4, [5 Matematica], [4 Informatica]. Nota finala: 3.7
Var4_img27.jpg Grila: Informatica 4, [4 Matematica], [5 Informatica]. Nota finala: 3.7
Var4_img28.jpg Grila: Informatica 4, [5 Matematica], [3 Informatica]. Nota finala: 3.4
Var4_img31.jpg Grila: Informatica 4, [8 Matematica], [11 Informatica]. Nota finala: 6.7
Var4_img32.jpg Grila: Informatica 4, [8 Matematica], [10 Informatica]. Nota finala: 6.4
Var4_img33.jpg Grila: Informatica 4, [9 Matematica], [6 Informatica]. Nota finala: 5.5
Var4_img35.jpg Grila: Informatica 4, [6 Matematica], [5 Informatica]. Nota finala: 4.3
Var4_img37.jpg Grila: Informatica 4, [9 Matematica], [7 Informatica]. Nota finala: 5.8
Var4_img40.jpg Grila: Informatica 4, [8 Matematica], [5 Informatica]. Nota finala: 4.9
Var4_img41.jpg Grila: Informatica 4, [12 Matematica], [10 Informatica]. Nota finala: 7.6
Var4_img42.jpg Grila: Informatica 4, [6 Matematica], [5 Informatica]. Nota finala: 4.3
Var4_img48.jpg Grila: Informatica 4, [7 Matematica], [3 Informatica]. Nota finala: 4.0
Var4_img49.jpg Grila: Informatica 4, [5 Matematica], [6 Informatica]. Nota finala: 4.3
Var4_img54.jpg Grila: Informatica 4, [9 Matematica], [9 Informatica]. Nota finala: 6.4
Var4_img57.jpg Grila: Informatica 4, [9 Matematica], [4 Informatica]. Nota finala: 4.9
Var4_img58.jpg Grila: Informatica 4, [10 Matematica], [8 Informatica]. Nota finala: 6.4
Var4_img59.jpg Grila: Informatica 4, [7 Matematica], [7 Informatica]. Nota finala: 5.2
Var4_img60.jpg Grila: Informatica 4, [5 Matematica], [5 Informatica]. Nota finala: 4.0
Var4_img61.jpg Grila: Informatica 4, [10 Matematica], [8 Informatica]. Nota finala: 6.4
Var4_img62.jpg Grila: Informatica 4, [2 Matematica], [5 Informatica]. Nota finala: 3.1
Var4_img65.jpg Grila: Informatica 4, [11 Matematica], [9 Informatica]. Nota finala: 7.0
Var4_img67.jpg Grila: Informatica 4, [5 Matematica], [6 Informatica]. Nota finala: 4.3
Var4_img68.jpg Grila: Informatica 4, [4 Matematica], [3 Informatica]. Nota finala: 3.1
Var4_img70.jpg Grila: Informatica 4, [7 Matematica], [4 Informatica]. Nota finala: 4.3
Var4_img73.jpg Grila: Informatica 4, [2 Matematica], [4 Informatica]. Nota finala: 2.8
