Var2_img3.jpg Grila: Informatica 2, [13 Matematica], [8 Informatica]. Nota finala: 7.3
Var2_img5.jpg Grila: Informatica 2, [10 Matematica], [5 Informatica]. Nota finala: 5.5
Var2_img8.jpg Grila: Informatica 2, [7 Matematica], [9 Informatica]. Nota finala: 5.8
Var2_img11.jpg Grila: Informatica 2, [10 Matematica], [2 Informatica]. Nota finala: 4.6
Var2_img13.jpg Grila: Informatica 2, [8 Matematica], [9 Informatica]. Nota finala: 6.1
Var2_img16.jpg Grila: Informatica 2, [2 Matematica], [0 Informatica]. Nota finala: 1.6
Var2_img20.jpg Grila: Informatica 2, [6 Matematica], [6 Informatica]. Nota finala: 4.6
Var2_img21.jpg Grila: Informatica 2, [8 Matematica], [8 Informatica]. Nota finala: 5.8
Var2_img25.jpg Grila: Informatica 2, [3 Matematica], [3 Informatica]. Nota finala: 2.8
Var2_img28.jpg Grila: Informatica 2, [2 Matematica], [5 Informatica]. Nota finala: 3.1
Var2_img29.jpg Grila: Informatica 2, [6 Matematica], [7 Informatica]. Nota finala: 4.9
Var2_img31.jpg Grila: Informatica 2, [10 Matematica], [4 Informatica]. Nota finala: 5.2
Var2_img32.jpg Grila: Informatica 2, [6 Matematica], [5 Informatica]. Nota finala: 4.3
Var2_img33.jpg Grila: Informatica 2, [10 Matematica], [9 Informatica]. Nota finala: 6.7
Var2_img38.jpg Grila: Informatica 2, [6 Matematica], [1 Informatica]. Nota finala: 3.1
Var2_img39.jpg Grila: Informatica 2, [9 Matematica], [7 Informatica]. Nota finala: 5.8
Var2_img41.jpg Grila: Informatica 2, [7 Matematica], [4 Informatica]. Nota finala: 4.3
Var2_img42.jpg Grila: Informatica 2, [8 Matematica], [4 Informatica]. Nota finala: 4.6
Var2_img46.jpg Grila: Informatica 2, [12 Matematica], [8 Informatica]. Nota finala: 7.0
Var2_img49.jpg Grila: Informatica 2, [10 Matematica], [5 Informatica]. Nota finala: 5.5
Var2_img50.jpg Grila: Informatica 2, [9 Matematica], [6 Informatica]. Nota finala: 5.5
Var2_img54.jpg Grila: Informatica 2, [7 Matematica], [3 Informatica]. Nota finala: 4.0
Var2_img56.jpg Grila: Informatica 2, [2 Matematica], [1 Informatica]. Nota finala: 1.9
Var2_img60.jpg Grila: Informatica 2, [1 Matematica], [2 Informatica]. Nota finala: 1.9
Var2_img61.jpg Grila: Informatica 2, [9 Matematica], [6 Informatica]. Nota finala: 5.5
Var2_img62.jpg Grila: Informatica 2, [4 Matematica], [7 Informatica]. Nota finala: 4.3
Var2_img64.jpg Grila: Informatica 2, [13 Matematica], [5 Informatica]. Nota finala: 6.4
Var2_img65.jpg Grila: Informatica 2, [7 Matematica], [7 Informatica]. Nota finala: 5.2
Var2_img73.jpg Grila: Informatica 2, [12 Matematica], [7 Informatica]. Nota finala: 6.7
Var2_img75.jpg Grila: Informatica 2, [10 Matematica], [5 Informatica]. Nota finala: 5.5
Var2_img76.jpg Grila: Informatica 2, [7 Matematica], [7 Informatica]. Nota finala: 5.2
Var2_img78.jpg Grila: Informatica 2, [12 Matematica], [7 Informatica]. Nota finala: 6.7
Var2_img79.jpg Grila: Informatica 2, [7 Matematica], [4 Informatica]. Nota finala: 4.3
Var2_img83.jpg Grila: Informatica 2, [13 Matematica], [8 Informatica]. Nota finala: 7.3
Var2_img84.jpg Grila: Informatica 2, [7 Matematica], [8 Informatica]. Nota finala: 5.5
