Var3_img1.jpg Grila: Fizica 3, [5 Matematica], [10 Fizica]. Nota finala: 5.5
Var3_img4.jpg Grila: Fizica 3, [14 Matematica], [13 Fizica]. Nota finala: 9.1
Var3_img7.jpg Grila: Fizica 3, [6 Matematica], [7 Fizica]. Nota finala: 4.9
Var3_img8.jpg Grila: Fizica 3, [6 Matematica], [7 Fizica]. Nota finala: 4.9
Var3_img9.jpg Grila: Fizica 3, [7 Matematica], [7 Fizica]. Nota finala: 5.2
Var3_img12.jpg Grila: Fizica 3, [6 Matematica], [1 Fizica]. Nota finala: 3.1
Var3_img14.jpg Grila: Fizica 3, [4 Matematica], [3 Fizica]. Nota finala: 3.1
Var3_img16.jpg Grila: Fizica 3, [11 Matematica], [11 Fizica]. Nota finala: 7.6
Var3_img21.jpg Grila: Fizica 3, [13 Matematica], [13 Fizica]. Nota finala: 8.8
Var3_img22.jpg Grila: Fizica 3, [8 Matematica], [7 Fizica]. Nota finala: 5.5
Var3_img27.jpg Grila: Fizica 3, [6 Matematica], [10 Fizica]. Nota finala: 5.8
Var3_img28.jpg Grila: Fizica 3, [9 Matematica], [11 Fizica]. Nota finala: 7.0
Var3_img29.jpg Grila: Fizica 3, [12 Matematica], [11 Fizica]. Nota finala: 7.9
Var3_img31.jpg Grila: Fizica 3, [11 Matematica], [13 Fizica]. Nota finala: 8.2
Var3_img32.jpg Grila: Fizica 3, [11 Matematica], [12 Fizica]. Nota finala: 7.9
Var3_img35.jpg Grila: Fizica 3, [11 Matematica], [10 Fizica]. Nota finala: 7.3
Var3_img36.jpg Grila: Fizica 3, [11 Matematica], [8 Fizica]. Nota finala: 6.7
Var3_img38.jpg Grila: Fizica 3, [11 Matematica], [10 Fizica]. Nota finala: 7.3
Var3_img39.jpg Grila: Fizica 3, [10 Matematica], [9 Fizica]. Nota finala: 6.7
Var3_img42.jpg Grila: Fizica 3, [9 Matematica], [9 Fizica]. Nota finala: 6.4
Var3_img45.jpg Grila: Fizica 3, [7 Matematica], [8 Fizica]. Nota finala: 5.5
Var3_img47.jpg Grila: Fizica 3, [7 Matematica], [9 Fizica]. Nota finala: 5.8
Var3_img51.jpg Grila: Fizica 3, [10 Matematica], [11 Fizica]. Nota finala: 7.3
Var3_img52.jpg Grila: Fizica 3, [9 Matematica], [3 Fizica]. Nota finala: 4.6
Var3_img54.jpg Grila: Fizica 3, [9 Matematica], [12 Fizica]. Nota finala: 7.3
Var3_img55.jpg Grila: Fizica 3, [3 Matematica], [3 Fizica]. Nota finala: 2.8
Var3_img57.jpg Grila: Fizica 3, [11 Matematica], [11 Fizica]. Nota finala: 7.6
Var3_img60.jpg Grila: Fizica 3, [7 Matematica], [8 Fizica]. Nota finala: 5.5
Var3_img62.jpg Grila: Fizica 3, [13 Matematica], [7 Fizica]. Nota finala: 7.0
Var3_img64.jpg Grila: Fizica 3, [8 Matematica], [10 Fizica]. Nota finala: 6.4
Var3_img65.jpg Grila: Fizica 3, [10 Matematica], [7 Fizica]. Nota finala: 6.1
Var3_img66.jpg Grila: Fizica 3, [14 Matematica], [10 Fizica]. Nota finala: 8.2
Var3_img68.jpg Grila: Fizica 3, [4 Matematica], [10 Fizica]. Nota finala: 5.2
Var3_img69.jpg Grila: Fizica 3, [7 Matematica], [7 Fizica]. Nota finala: 5.2
Var3_img71.jpg Grila: Fizica 3, [7 Matematica], [10 Fizica]. Nota finala: 6.1
Var3_img72.jpg Grila: Fizica 3, [9 Matematica], [7 Fizica]. Nota finala: 5.8
Var3_img76.jpg Grila: Fizica 3, [5 Matematica], [8 Fizica]. Nota finala: 4.9
Var3_img77.jpg Grila: Fizica 3, [3 Matematica], [4 Fizica]. Nota finala: 3.1
Var3_img79.jpg Grila: Fizica 3, [5 Matematica], [7 Fizica]. Nota finala: 4.6
Var3_img80.jpg Grila: Fizica 3, [5 Matematica], [4 Fizica]. Nota finala: 3.7
Var3_img81.jpg Grila: Fizica 3, [11 Matematica], [6 Fizica]. Nota finala: 6.1
Var3_img83.jpg Grila: Fizica 3, [9 Matematica], [7 Fizica]. Nota finala: 5.8
Var3_img84.jpg Grila: Fizica 3, [9 Matematica], [10 Fizica]. Nota finala: 6.7
Var3_img86.jpg Grila: Fizica 3, [14 Matematica], [8 Fizica]. Nota finala: 7.6
Var3_img87.jpg Grila: Fizica 3, [10 Matematica], [13 Fizica]. Nota finala: 7.9
Var3_img88.jpg Grila: Fizica 3, [11 Matematica], [13 Fizica]. Nota finala: 8.2
Var3_img90.jpg Grila: Fizica 3, [8 Matematica], [4 Fizica]. Nota finala: 4.6
Var3_img92.jpg Grila: Fizica 3, [5 Matematica], [8 Fizica]. Nota finala: 4.9
Var3_img94.jpg Grila: Fizica 3, [11 Matematica], [13 Fizica]. Nota finala: 8.2
Var3_img96.jpg Grila: Fizica 3, [7 Matematica], [8 Fizica]. Nota finala: 5.5
Var3_img98.jpg Grila: Fizica 3, [11 Matematica], [11 Fizica]. Nota finala: 7.6
Var3_img99.jpg Grila: Fizica 3, [9 Matematica], [4 Fizica]. Nota finala: 4.9
Var3_img100.jpg Grila: Fizica 3, [13 Matematica], [13 Fizica]. Nota finala: 8.8
Var3_img101.jpg Grila: Fizica 3, [9 Matematica], [9 Fizica]. Nota finala: 6.4
Var3_img102.jpg Grila: Fizica 3, [14 Matematica], [9 Fizica]. Nota finala: 7.9
