Var2_img1.jpg Grila: Fizica 2, [10 Matematica], [10 Fizica]. Nota finala: 7.0
Var2_img4.jpg Grila: Fizica 2, [8 Matematica], [12 Fizica]. Nota finala: 7.0
Var2_img6.jpg Grila: Fizica 2, [13 Matematica], [15 Fizica]. Nota finala: 9.4
Var2_img7.jpg Grila: Fizica 2, [3 Matematica], [8 Fizica]. Nota finala: 4.3
Var2_img9.jpg Grila: Fizica 2, [5 Matematica], [8 Fizica]. Nota finala: 4.9
Var2_img10.jpg Grila: Fizica 2, [6 Matematica], [5 Fizica]. Nota finala: 4.3
Var2_img12.jpg Grila: Fizica 2, [8 Matematica], [7 Fizica]. Nota finala: 5.5
Var2_img14.jpg Grila: Fizica 2, [14 Matematica], [11 Fizica]. Nota finala: 8.5
Var2_img15.jpg Grila: Fizica 2, [10 Matematica], [8 Fizica]. Nota finala: 6.4
Var2_img17.jpg Grila: Fizica 2, [14 Matematica], [10 Fizica]. Nota finala: 8.2
Var2_img18.jpg Grila: Fizica 2, [5 Matematica], [6 Fizica]. Nota finala: 4.3
Var2_img19.jpg Grila: Fizica 2, [14 Matematica], [11 Fizica]. Nota finala: 8.5
Var2_img22.jpg Grila: Fizica 2, [9 Matematica], [8 Fizica]. Nota finala: 6.1
Var2_img23.jpg Grila: Fizica 2, [12 Matematica], [10 Fizica]. Nota finala: 7.6
Var2_img24.jpg Grila: Fizica 2, [12 Matematica], [13 Fizica]. Nota finala: 8.5
Var2_img26.jpg Grila: Fizica 2, [10 Matematica], [11 Fizica]. Nota finala: 7.3
Var2_img27.jpg Grila: Fizica 2, [12 Matematica], [10 Fizica]. Nota finala: 7.6
Var2_img30.jpg Grila: Fizica 2, [8 Matematica], [6 Fizica]. Nota finala: 5.2
Var2_img34.jpg Grila: Fizica 2, [12 Matematica], [10 Fizica]. Nota finala: 7.6
Var2_img35.jpg Grila: Fizica 2, [10 Matematica], [9 Fizica]. Nota finala: 6.7
Var2_img36.jpg Grila: Fizica 2, [13 Matematica], [9 Fizica]. Nota finala: 7.6
Var2_img37.jpg Grila: Fizica 2, [4 Matematica], [5 Fizica]. Nota finala: 3.7
Var2_img40.jpg Grila: Fizica 2, [13 Matematica], [8 Fizica]. Nota finala: 7.3
Var2_img43.jpg Grila: Fizica 2, [12 Matematica], [7 Fizica]. Nota finala: 6.7
Var2_img44.jpg Grila: Fizica 2, [11 Matematica], [10 Fizica]. Nota finala: 7.3
Var2_img45.jpg Grila: Fizica 2, [7 Matematica], [5 Fizica]. Nota finala: 4.6
Var2_img47.jpg Grila: Fizica 2, [10 Matematica], [10 Fizica]. Nota finala: 7.0
Var2_img48.jpg Grila: Fizica 2, [15 Matematica], [13 Fizica]. Nota finala: 9.4
Var2_img51.jpg Grila: Fizica 2, [10 Matematica], [10 Fizica]. Nota finala: 7.0
Var2_img52.jpg Grila: Fizica 2, [13 Matematica], [11 Fizica]. Nota finala: 8.2
Var2_img53.jpg Grila: Fizica 2, [7 Matematica], [9 Fizica]. Nota finala: 5.8
Var2_img55.jpg Grila: Fizica 2, [13 Matematica], [9 Fizica]. Nota finala: 7.6
Var2_img57.jpg Grila: Fizica 2, [8 Matematica], [7 Fizica]. Nota finala: 5.5
Var2_img58.jpg Grila: Fizica 2, [7 Matematica], [11 Fizica]. Nota finala: 6.4
Var2_img59.jpg Grila: Fizica 2, [14 Matematica], [13 Fizica]. Nota finala: 9.1
Var2_img63.jpg Grila: Fizica 2, [4 Matematica], [8 Fizica]. Nota finala: 4.6
Var2_img66.jpg Grila: Fizica 2, [11 Matematica], [11 Fizica]. Nota finala: 7.6
Var2_img67.jpg Grila: Fizica 2, [10 Matematica], [10 Fizica]. Nota finala: 7.0
Var2_img68.jpg Grila: Fizica 2, [14 Matematica], [10 Fizica]. Nota finala: 8.2
Var2_img69.jpg Grila: Fizica 2, [11 Matematica], [7 Fizica]. Nota finala: 6.4
Var2_img70.jpg Grila: Fizica 2, [4 Matematica], [4 Fizica]. Nota finala: 3.4
Var2_img71.jpg Grila: Fizica 2, [11 Matematica], [12 Fizica]. Nota finala: 7.9
Var2_img72.jpg Grila: Fizica 2, [7 Matematica], [8 Fizica]. Nota finala: 5.5
Var2_img74.jpg Grila: Fizica 2, [7 Matematica], [5 Fizica]. Nota finala: 4.6
Var2_img77.jpg Grila: Fizica 2, [10 Matematica], [8 Fizica]. Nota finala: 6.4
Var2_img80.jpg Grila: Fizica 2, [13 Matematica], [9 Fizica]. Nota finala: 7.6
Var2_img81.jpg Grila: Fizica 2, [12 Matematica], [11 Fizica]. Nota finala: 7.9
Var2_img82.jpg Grila: Fizica 2, [10 Matematica], [11 Fizica]. Nota finala: 7.3
Var2_img85.jpg Grila: Fizica 2, [9 Matematica], [10 Fizica]. Nota finala: 6.7
Var2_img86.jpg Grila: Fizica 2, [9 Matematica], [9 Fizica]. Nota finala: 6.4
Var2_img87.jpg Grila: Fizica 2, [11 Matematica], [7 Fizica]. Nota finala: 6.4
